studyprogramid,coursetime,graduatelevelid,graduatelevelname,StudyTypeID,studytypename,OlogyID,OlogyName,DepartmentID,DepartmentName
101,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),101,Kỹ thuật Điện - Điện tử,1,Điện - Điện tử
102,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),102,Điện Công Nghiệp,1,Điện - Điện tử
103,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),103,Cơ Khí Chế Tạo Máy,2,Cơ Khí Chế Tạo Máy
104,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),104,Kỹ thuật Công Nghiệp,2,Cơ Khí Chế Tạo Máy
105,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),105,Cơ Khí Động Lực,3,Cơ Khí Động Lực
106,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),106,Cơ Tin Kỹ Thuật,4,Xây dựng và Cơ học ứng dụng
107,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),107,Thiết Kế Máy,4,Xây dựng và Cơ học ứng dụng
108,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),108,Kỹ Thuật In,5,In và Truyền thông
109,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),109,Công Nghệ May,6,Công nghệ May và Thời trang
121,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),121,Kỹ Thuật  Nữ Công,6,Công nghệ May và Thời trang
00201P,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),201,Kỹ Thuật Điện - Điện tử,1,Điện - Điện tử
00202P,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),202,Điện công nghiệp,1,Điện - Điện tử
00203P,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),203,Cơ Khí Chế Tạo Máy,2,Cơ Khí Chế Tạo Máy
00205P,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),205,Cơ Khí Động Lực,3,Cơ Khí Động Lực
301,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),301,Kỹ thuật Điện-Điện tử (CT),1,Điện - Điện tử
302,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),302,Điện công nghiệp(CT),1,Điện - Điện tử
00401H,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),401,KT Điện-ĐTử,15,Phòng Đào tạo không CQ
00402H,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),402,Điện công nghiệp,15,Phòng Đào tạo không CQ
00402LB,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),402,Điện công nghiệp,15,Phòng Đào tạo không CQ
00404H,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),404,404,15,Phòng Đào tạo không CQ
00404TV,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),404,404,15,Phòng Đào tạo không CQ
00501P,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),501,501,15,Phòng Đào tạo không CQ
00502H,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),502,Điện công nghiệp,15,Phòng Đào tạo không CQ
00502P,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),502,Điện công nghiệp,15,Phòng Đào tạo không CQ
00503H,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),503,Cơ Khí Chế Tạo Máy,15,Phòng Đào tạo không CQ
00503P,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),503,Cơ Khí Chế Tạo Máy,15,Phòng Đào tạo không CQ
701,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),701,Kỹ thuật Điện - Điện tử,1,Điện - Điện tử
702,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),702,Điện công nghiệp,1,Điện - Điện tử
00702V,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),702,Điện công nghiệp,1,Điện - Điện tử
703,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),703,Cơ Khí Chế Tạo Máy,2,Cơ Khí Chế Tạo Máy
00703V,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),703,Cơ Khí Chế Tạo Máy,2,Cơ Khí Chế Tạo Máy
705,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),705,Cơ Khí Động Lực,3,Cơ Khí Động Lực
00705D,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),705,Cơ Khí Động Lực,3,Cơ Khí Động Lực
709,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),709,Công nghệ May,6,Công nghệ May và Thời trang
710,2000 - 2004,DH,Đại học,CQCN,Chính quy (CN),710,Kỹ Thuật Tin Học (CĐ),18,Công nghệ Thông tin
1101,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),101,Kỹ thuật Điện - Điện tử,1,Điện - Điện tử
1102,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),102,Điện Công Nghiệp,1,Điện - Điện tử
1103,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),103,Cơ Khí Chế Tạo Máy,2,Cơ Khí Chế Tạo Máy
1104,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),104,Kỹ thuật Công Nghiệp,2,Cơ Khí Chế Tạo Máy
1105,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),105,Cơ Khí Động Lực,3,Cơ Khí Động Lực
1106,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),106,Cơ Tin Kỹ Thuật,4,Xây dựng và Cơ học ứng dụng
1107,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),107,Thiết Kế Máy,4,Xây dựng và Cơ học ứng dụng
1108,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),108,Kỹ Thuật In,5,In và Truyền thông
1109,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),109,Công Nghệ May,6,Công nghệ May và Thời trang
1110,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),110,Công nghệ Thông Tin,18,Công nghệ Thông tin
1111,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),111,Cơ Điện Tử,2,Cơ Khí Chế Tạo Máy
1112,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),112,Công nghệ Tự động,2,Cơ Khí Chế Tạo Máy
1113,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),113,Kỹ Thuật Nhiệt-Điện Lạnh,3,Cơ Khí Động Lực
1121,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),121,Kỹ Thuật  Nữ Công,6,Công nghệ May và Thời trang
1122,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),122,KT Nông Nghiệp,16,Nông Nghiệp
1123,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),123,Thiết Kế Thời Trang,6,Công nghệ May và Thời trang
1201,2001 - 2005,DH,Đại học,CQCN,Chính quy (CN),201,Kỹ Thuật Điện - Điện tử,1,Điện - Điện tử
