CurriculumID,CurriculumName,Credits,GraduateLevelID,CurriculumGroupID,DepartmentID,ForeignName
1,KTra AV,0,DH,NC,1701,
1011,Toán cao cấp A1,4,DH,NC,1701,Advanced Mathematics A1
1012,Toán cao cấp A2,4,DH,NC,1701,Advanced Mathematics A2
1013,Toán cao cấp A3,5,DH,NC,1701,Advanced Mathematics A3
1014,Toán cao cấp A4,3,DH,NC,1701,Advanced Mathematics A4
1015,Toán cao cấp A5,5,DH,NC,1701,Advanced Mathematics A5
1020,Xác suất thống kê A,3,DH,NC,1701,Probability and Statistics A
1071,Toán cao cấp B1,3,DH,NC,1701,Advanced Mathematics B1
1072,Toán cao cấp B2,3,DH,NC,1701,Advanced Mathematics B2
1080,Xác suất thống kê B,3,DH,NC,1701,Probability and Statistics B
1091,Toán cao cấp 1,5,DH,NC,1701,Advanced Mathematics 1
1092,Toán cao cấp 2,5,DH,NC,1701,Advanced Mathematics 2
1093,Toán cao cấp 3,3,DH,NC,1701,Advanced Mathematics 3
1094,Toán cao cấp A4,4,DH,NC,1701,Advanced Mathematics A4
1111,Bài tập Toán B1,0,DH,NC,1701,
1112,Bài tập Toán B2,0,DH,NC,1701,
2011,Vật lý đại cương A1,4,DH,NC,1702,General physics A1
2012,Vật lý đại cương A2,3,DH,NC,1702,General physics A2
2013,Vật lý đại cương A3,3,DH,NC,1702,General physics A3
2021,Thí nghiệm vật lý 1,1,DH,NC,1702,Physics Experiment 1
2022,Thí nghiệm vật lý 2,1,DH,NC,1702,Physics Experiment 2
2031,Vật lý đại cương A1,3,DH,NC,1702,General physics A1
2032,Vật lý đại cương A2,4,DH,NC,1702,General physics A2
2033,Vật lý đại cương A3,5,DH,NC,1702,General physics A3
2041,Vat lý đại cương A1,5,DH,NC,1702,
2042,Vật lý đại cương A2,3,DH,NC,1702,General physics A2
2043,Vat Ly đại cương A3,4,DH,NC,1702,
2051,Vật lý đại cương B1,4,DH,NC,1702,General physics B1
2052,Vật lý đại cương B2,3,DH,NC,1702,General physics B2
3030,TN hóa đại cương A2,1,DH,NC,703,
3041,Hóa đại cương A1,5,DH,NC,703,General chemistry A1
3042,Hóa đại cương A2,4,DH,NC,703,General chemistry A2
3141,Hóa đại cương A1 HP1,3,DH,NC,703,General chemistry A1
3142,Hóa đại cương A1 HP2,2,DH,NC,703,General chemistry A1
3150,TN hóa đại cương A1,1,DH,NC,703,
3151,Thí nghiệm Hóa 1,1,DH,NC,703,
3152,Thí nghiệm Hóa 2,1,DH,NC,703,
4031,Anh văn 1,6,DH,NC,2104,English 1
4032,Anh văn 2,6,DH,NC,2104,English 2
4033,Anh văn 3,6,DH,NC,2104,English 3
4034,Anh văn 4,4,DH,NC,2104,English 4
4035,Anh văn 5,4,DH,NC,2104,English 5
4036,Anh văn 6,4,DH,NC,2104,English 6
4041,Anh Van 1,5,DH,NC,2104,English 1
4042,Anh Van 2,5,DH,NC,2104,English 2
4043,Anh Van 3,5,DH,NC,2104,English 3
4044,Anh Van 4,5,DH,NC,2104,English 4
4045,Anh Van 5,3,DH,NC,2104,English 5
4061,Pháp Văn 1,6,DH,NC,2104,
4062,Pháp Văn 2,6,DH,NC,2104,
4063,Pháp Văn 3,6,DH,NC,2104,
4071,Anh Văn 1 (THCN Việt - Đức),4,DH,NC,2104,English 1
4072,Anh văn 2 (THCN Việt-Đức),4,DH,NC,2104,English 2
5010,Triết học,5,DH,NC,1905,Philosophy
5011,Triết học 1,3,DH,NC,1905,Philosophy 1
5012,Triết học 2,2,DH,NC,1905,Philosophy 2
5013,Triết học (TNCĐ 2002),2,DH,GC,1905,
5020,Tiếng Việt thực hành (B),3,DH,NC,1905,Practical Vietnamese Language
5030,Cơ sở văn hóa Việt Nam,2,DH,NC,1905,Vietnamese Culture
5040,Lịch sử thế giới Đ.cương,4,DH,NC,1905,
5050,Lịch sử Triết học,3,DH,NC,1905,
5060,Ls Văn Minh Phương tây,2,DH,NC,1905,
5070,Ls Văn Minh Thế giới,4,DH,NC,1905,
5080,Ls Việt Nam đại cương,3,DH,NC,1905,
5090,Chính Trị (TH),6,DH,NC,1905,Politics
5091,Chính trị (TN TrH 2003),2,DH,GC,1905,Political
5100,Cơ sở văn hóa Việt Nam,3,DH,NC,1905,Vietnamese Culture
5110,Tư tưởng Hồ Chí Minh(từK.TN04),3,DH,NC,1905,Ho Chi Minh's Ideology
