OlogyID,OlogyName,DepartmentID,Parent,TestingOlogyID,graduatelevelid,studytypeid
101,Kỹ thuật Điện - Điện tử,1,525103.0,D510302,DH,CQCN
102,Điện Công Nghiệp,1,525103.0,D510301,DH,CQCN
103,Cơ Khí Chế Tạo Máy,2,525102.0,D510202,DH,CQCN
104,Kỹ thuật Công Nghiệp,2,525106.0,D510603,DH,CQCN
105,Cơ Khí Động Lực,3,525102.0,D510205,DH,CQCN
106,Cơ Tin Kỹ Thuật,2,525102.0,D510203,DH,CQCN
107,Thiết Kế Máy,2,525102.0,D510202,DH,CQCN
108,Kỹ Thuật In,5,5251.0,D510501,DH,CQCN
109,Công Nghệ May,6,525402.0,D540204,DH,CQCN
110,Công nghệ Thông Tin,18,524802.0,D480201,DH,CQCN
111,Cơ Điện Tử,2,525102.0,D510203,DH,CQCN
112,Công nghệ Tự động,2,525102.0,D510201,DH,CQCN
113,Kỹ Thuật Nhiệt-Điện Lạnh,3,525102.0,D510206,DH,CQCN
114,Xây dựng dân dụng & Công Nghiệp,4,525101.0,D510102,DH,CQCN
115,Công Nghệ Môi Trường,7,525104.0,D510406,DH,CQCN
116,Công Nghệ Thực Phẩm,7,525401.0,D540101,DH,CQCN
117,Công nghệ Điện tử viễn thông,1,525103.0,D510302,DH,CQCN
118,Công nghệ Điện tự động,1,525103.0,D510303,DH,CQCN
119,Công nghệ Kỹ thuật Máy tính,1,525103.0,D510304,DH,CQCN
120,Tiếng Anh,21,521402.0,D140231,DH,CQCN
121,Kỹ Thuật  Nữ Công,6,528105.0,D810501,DH,CQCN
123,Thiết Kế Thời Trang,6,522104.0,D210404,DH,CQCN
124,Quản lý công nghiệp,22,525106.0,D510601,DH,CQCN
125,Kế toán,22,523403.0,D340301,DH,CQCN
126,Thương mại điện tử,22,523401.0,D340122,DH,CQCN
127,Kỹ thuật xây dựng công trình giao thông,4,,D580205,DH,CQCN
128,Công nghệ Kỹ thuật Hóa học,7,525104.0,D510401,DH,CQCN
141,"Công nghệ Kỹ thuật Điện tử,Truyền thông",1,525103.0,D510302,DH,CQCN
142,"Công Nghệ Kỹ Thuật Điện,Đ.tử",1,525103.0,D510301,DH,CQCN
143,Công Nghệ Chế Tạo Máy,2,525102.0,D510202,DH,CQCN
144,Công Nghệ Kỹ Thuật Cơ Khí,2,525102.0,D510201,DH,CQCN
145,Công Nghệ Kỹ Thuật Ô tô,3,525102.0,D510205,DH,CQCN
146,Công Nghệ Kỹ Thuật Cơ Điện Tử,2,525102.0,D510203,DH,CQCN
147,Công Nghệ Kỹ Thuật Nhiệt,3,525102.0,D510206,DH,CQCN
148,Công nghệ In,5,5251.0,D510501,DH,CQCN
149,CNghệ KT CT Xây Dựng,4,525101.0,D510102,DH,CQCN
150,Công Nghệ Kỹ Thuật Môi Trường,7,525104.0,D510406,DH,CQCN
151,Công Nghệ Kỹ Thuật Điều Khiển và Tự Động Hoá,1,525103.0,D510303,DH,CQCN
152,Kinh Tế Gia Đình,6,528105.0,D810501,DH,CQCN
201,Kỹ Thuật Điện - Điện tử,1,525103.0,D510302,DH,CQKCN
202,Điện công nghiệp,1,525103.0,D510301,DH,CQKCN
203,Cơ Khí Chế Tạo Máy,2,525102.0,D510202,DH,CQKCN
205,Cơ Khí Động Lực,3,525102.0,D510205,DH,CQKCN
209,Công nghệ May,6,525402.0,D540204,DH,CQKCN
213,Kỹ Thuật Nhiệt-Điện Lạnh,3,525102.0,D510206,DH,CQKCN
241,"Công Nghệ Kỹ Thuật Điện Tử,Truyền Thông",1,525103.0,D510302,DH,CQKCN
242,CN Kỹ thuật Điện-Điện tử,1,525103.0,D510301,DH,CQKCN
243,Công Nghệ Chế Tạo Máy,2,525102.0,D510202,DH,CQKCN
245,Công Nghệ Kỹ Thuật Ô tô,3,525102.0,D510205,DH,CQKCN
247,Công Nghệ Kỹ Thuật Nhiệt,3,525102.0,D510206,DH,CQKCN
301,Kỹ thuật Điện-Điện tử (CT),1,,D510302,DH,CQCTCN
302,Điện công nghiệp(CT),1,525103.0,D510301,DH,CQCTCN
303,Cơ Khí Chế Tạo Máy (CT),2,525102.0,D510202,DH,CQCTCN
305,Cơ Khí Động Lực (CT),3,,D510205,DH,CQCTCN
309,Công nghệ May,6,525402.0,D540204,DH,CQCTCN
325,Kế toán,22,523403.0,D340301,DH,CQCTCN
329,Công nghệ Kỹ thuật Xây dựng,4,,D510103,DH,CQCTCN
341,Công nghệ Kỹ thuật Điện tử-Truyền thông,1,525103.0,D510302,DH,CQCTCN
342,Công nghệ Kỹ thuật Điện-Điện tử,1,525103.0,D510301,DH,CQCTCN
343,Công Nghệ Chế Tạo Máy,2,525102.0,D510202,DH,CQCTCN
345,Công Nghệ Kỹ Thuật Ô tô,3,525102.0,D510205,DH,CQCTCN
401,KT Điện-ĐTử,1,525103.0,D510302,DH,VLVH
402,Điện công nghiệp,1,525103.0,D510301,DH,VLVH
403,Cơ Khí Chế Tạo Máy,2,525102.0,D510202,DH,VLVH
410,Công nghệ thông tin,18,524802.0,D480201,DH,VLVH
414,Xây Dựng DD & CN,4,525101.0,D510102,DH,VLVH
417,Cnghệ Đtử viễn thông,1,525103.0,D510302,DH,VLVH
425,Kế toán,22,523403.0,D340301,DH,VLVH
