YearStudy,TermID,MonthApply,StudyprogramID,CourseID,GraduateLevelID,StudyTypeID,OlogyID,Dotxet,TongsoSVnhaphoc,TongsoSVxet,SLtotnghiep,Xuatsac,Gioi,Kha,TrungbinhKha,Trungbinh
2015-2016,HK01,0,11904,DHGV2011,DH,GV,904,Kéo dài,,36,0,0,0,0,0,0
2015-2016,HK01,0,11904CTU,DHGV2011,DH,GV,904,Kéo dài,,16,0,0,0,0,0,0
2015-2016,HK01,0,11910,DHGV2011,DH,GV,910,Kéo dài,,28,0,0,0,0,0,0
2015-2016,HK01,0,11911,DHGV2011,DH,GV,911,Kéo dài,,29,0,0,0,0,0,0
2015-2016,HK01,0,11942,DHGV2011,DH,GV,942,Kéo dài,,44,0,0,0,0,0,0
2015-2016,HK01,0,11943,DHGV2011,DH,GV,943,Kéo dài,,37,0,0,0,0,0,0
2015-2016,HK01,0,11945,DHGV2011,DH,GV,945,Kéo dài,,29,0,0,0,0,0,0
2015-2016,HK01,0,11947,DHGV2011,DH,GV,947,Kéo dài,,24,0,0,0,0,0,0
2015-2016,HK01,0,11949,DHGV2011,DH,GV,949,Kéo dài,,33,0,0,0,0,0,0
2015-2016,HK01,0,K11941DT,DHGV2011,DH,GV,941,Kéo dài,,15,0,0,0,0,0,0
2015-2016,HK01,0,K11941VT,DHGV2011,DH,GV,941,Kéo dài,,24,0,0,0,0,0,0
2015-2016,HK01,0,KDT13B,CHCQ2013,CH,CQ,60520203,Kéo dài,,1,1,0,0,0,0,0
2015-2016,HK01,3,10401,DHVLVH2010,DH,VLVH,401,Kéo dài,,6,0,0,0,0,0,0
2015-2016,HK01,3,10401(1),DHVLVH2010,DH,VLVH,401,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,3,10402,DHVLVH2010,DH,VLVH,402,Kéo dài,,18,8,0,0,1,5,2
2015-2016,HK01,3,10402(1),DHVLVH2010,DH,VLVH,402,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,3,10403,DHVLVH2010,DH,VLVH,403,Kéo dài,,21,4,0,0,0,4,0
2015-2016,HK01,3,10414,DHVLVH2010,DH,VLVH,414,Kéo dài,,17,10,0,0,0,9,1
2015-2016,HK01,3,10417,DHVLVH2010,DH,VLVH,417,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,3,10502,DHVLVHTC2010,DH,VLVHTC,502,Kéo dài,,23,3,0,0,0,3,0
2015-2016,HK01,3,10503,DHVLVHTC2010,DH,VLVHTC,503,Kéo dài,,18,3,0,0,0,0,3
2015-2016,HK01,3,11443,DHVLVH2011,DH,VLVH,443,Kéo dài,,47,26,0,0,0,26,0
2015-2016,HK01,3,11542,DHVLVHTC2011,DH,VLVHTC,542,Kéo dài,,31,16,0,0,0,13,3
2015-2016,HK01,3,11549,DHVLVHTC2011,DH,VLVHTC,549,Kéo dài,,36,9,0,0,0,7,2
2015-2016,HK01,3,12425(2),DHVLVH2012,DH,VLVH,425,Kéo dài,,24,21,0,1,18,2,0
2015-2016,HK01,3,12525(1),DHVLVHTC2012,DH,VLVHTC,525,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,3,12525(2),DHVLVHTC2012,DH,VLVHTC,525,Kéo dài,,21,12,0,0,2,9,1
2015-2016,HK01,3,12542(1),DHVLVHTC2012,DH,VLVHTC,542,Kéo dài,,3,3,0,0,0,3,0
2015-2016,HK01,3,12542(2),DHVLVHTC2012,DH,VLVHTC,542,Kéo dài,,258,197,0,0,45,152,0
2015-2016,HK01,3,12545(2),DHVLVHTC2012,DH,VLVHTC,545,Kéo dài,,1,1,0,0,0,1,0
2015-2016,HK01,3,12549(1),DHVLVHTC2012,DH,VLVHTC,549,Kéo dài,,92,55,0,0,9,46,0
2015-2016,HK01,3,12549(2),DHVLVHTC2012,DH,VLVHTC,549,Kéo dài,,87,3,0,0,0,3,0
2015-2016,HK01,3,12842(2),DHVLVHCDN2012,DH,VLVHCDN,842,Kéo dài,,6,3,0,0,0,1,2
2015-2016,HK01,3,12843(2),DHVLVHCDN2012,DH,VLVHCDN,843,Kéo dài,,22,8,0,0,0,8,0
2015-2016,HK01,3,12845(2),DHVLVHCDN2012,DH,VLVHCDN,845,Kéo dài,,20,6,0,0,0,3,3
2015-2016,HK01,3,13604,DHVLVHCD2013,DH,VLVHCD,604,Kéo dài,,2,1,0,0,0,1,0
2015-2016,HK01,3,13610,DHVLVHCD2013,DH,VLVHCD,610,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,3,13642,DHVLVHCD2013,DH,VLVHCD,642,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,3,13645,DHVLVHCD2013,DH,VLVHCD,645,Kéo dài,,3,0,0,0,0,0,0
2015-2016,HK01,3,13652,DHVLVHCD2013,DH,VLVHCD,652,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,3,13825,DHVLVHCDN2013,DH,VLVHCDN,825,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,3,14642(2),DHVLVHCD2014,DH,VLVHCD,642,Kéo dài,,50,39,0,1,2,36,0
2015-2016,HK01,3,14643(2),DHVLVHCD2014,DH,VLVHCD,643,Kéo dài,,11,0,0,0,0,0,0
2015-2016,HK01,3,14645(2),DHVLVHCD2014,DH,VLVHCD,645,Kéo dài,,15,7,0,0,2,5,0
2015-2016,HK01,3,K14825,DHVLVHCDN2014,DH,VLVHCDN,825,Kéo dài,,45,44,0,8,35,1,0
2015-2016,HK01,9,2102,DHCQCN2005,DH,CQCN,102,Kéo dài,,1,1,0,0,0,0,1
2015-2016,HK01,9,3101,DHCQCN2005,DH,CQCN,101,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,3102,DHCQCN2005,DH,CQCN,102,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,3113,DHCQCN2005,DH,CQCN,113,Kéo dài,,1,1,0,0,0,0,1
2015-2016,HK01,9,5101,DHCQCN2005,DH,CQCN,101,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,05104CTU,DHCQCN2005,DH,CQCN,104,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,5110,DHCQCN2005,DH,CQCN,110,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,5121,DHCQCN2005,DH,CQCN,121,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,6101,DHCQCN2005,DH,CQCN,101,Kéo dài,,3,0,0,0,0,0,0
2015-2016,HK01,9,06101LD,DHCQDP2006,DH,CQDP,101,Kéo dài,,1,1,0,0,0,0,1
2015-2016,HK01,9,6102,DHCQCN2005,DH,CQCN,102,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,9,06102BD,DHCQDP2006,DH,CQDP,102,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,06102CLC,DHCQCN2005,DH,CQCN,102,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,06102CTU,DHCQCN2005,DH,CQCN,102,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,9,06102VT,DHCQDP2006,DH,CQDP,102,Kéo dài,,3,0,0,0,0,0,0
2015-2016,HK01,9,6104,DHCQCN2005,DH,CQCN,104,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,9,6105,DHCQCN2005,DH,CQCN,105,Kéo dài,,4,0,0,0,0,0,0
2015-2016,HK01,9,6106,DHCQCN2005,DH,CQCN,106,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,6110,DHCQCN2005,DH,CQCN,110,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,6111,DHCQCN2005,DH,CQCN,111,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,9,6112,DHCQCN2005,DH,CQCN,112,Kéo dài,,3,0,0,0,0,0,0
2015-2016,HK01,9,6114,DHCQCN2005,DH,CQCN,114,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,6117,DHCQCN2005,DH,CQCN,117,Kéo dài,,2,0,0,0,0,0,0
2015-2016,HK01,9,7101,DHCQCN2007,DH,CQCN,101,Kéo dài,,5,1,0,0,0,0,1
2015-2016,HK01,9,07101LD,DHCQDP2007,DH,CQDP,101,Kéo dài,,8,2,0,0,0,0,2
2015-2016,HK01,9,7102,DHCQCN2007,DH,CQCN,102,Kéo dài,,11,3,0,0,0,0,3
2015-2016,HK01,9,07102CLC,DHCQCN2007,DH,CQCN,102,Kéo dài,,2,2,0,0,0,0,2
2015-2016,HK01,9,07102LD,DHCQDP2007,DH,CQDP,102,Kéo dài,,2,1,0,0,0,0,1
2015-2016,HK01,9,7103,DHCQCN2007,DH,CQCN,103,Kéo dài,,6,0,0,0,0,0,0
2015-2016,HK01,9,7104,DHCQCN2007,DH,CQCN,104,Kéo dài,,4,2,0,0,0,0,2
2015-2016,HK01,9,07104CTU,DHCQCN2007,DH,CQCN,104,Kéo dài,,5,1,0,0,0,0,1
2015-2016,HK01,9,7105,DHCQCN2007,DH,CQCN,105,Kéo dài,,2,1,0,0,0,0,1
2015-2016,HK01,9,7106,DHCQCN2007,DH,CQCN,106,Kéo dài,,6,3,0,0,0,0,3
2015-2016,HK01,9,7107,DHCQCN2007,DH,CQCN,107,Kéo dài,,2,1,0,0,0,0,1
2015-2016,HK01,9,7108,DHCQCN2007,DH,CQCN,108,Kéo dài,,3,0,0,0,0,0,0
2015-2016,HK01,9,7110,DHCQCN2007,DH,CQCN,110,Kéo dài,,3,0,0,0,0,0,0
2015-2016,HK01,9,07110CLC,DHCQCN2007,DH,CQCN,110,Kéo dài,,1,1,0,0,0,0,1
2015-2016,HK01,9,7111,DHCQCN2007,DH,CQCN,111,Kéo dài,,4,1,0,0,1,0,0
2015-2016,HK01,9,7112,DHCQCN2007,DH,CQCN,112,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,7113,DHCQCN2007,DH,CQCN,113,Kéo dài,,9,0,0,0,0,0,0
2015-2016,HK01,9,7114,DHCQCN2007,DH,CQCN,114,Kéo dài,,5,0,0,0,0,0,0
2015-2016,HK01,9,7115,DHCQCN2007,DH,CQCN,115,Kéo dài,,2,2,0,0,0,0,2
2015-2016,HK01,9,7117,DHCQCN2007,DH,CQCN,117,Kéo dài,,3,1,0,0,0,0,1
2015-2016,HK01,9,07117BD,DHCQDP2007,DH,CQDP,117,Kéo dài,,4,0,0,0,0,0,0
2015-2016,HK01,9,7119,DHCQCN2007,DH,CQCN,119,Kéo dài,,7,3,0,0,0,0,3
2015-2016,HK01,9,7124,DHCQCN2007,DH,CQCN,124,Kéo dài,,2,1,0,0,0,0,1
2015-2016,HK01,9,7202,DHCQKCN2007,DH,CQKCN,202,Kéo dài,,3,1,0,0,0,0,1
2015-2016,HK01,9,7702,CDCQCN2007,CD,CQCN,702,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,8101,DHCQCN2008,DH,CQCN,101,Kéo dài,,4,0,0,0,0,0,0
2015-2016,HK01,9,08101CLC,DHCQCN2008,DH,CQCN,101,Kéo dài,,1,0,0,0,0,0,0
2015-2016,HK01,9,8102,DHCQCN2008,DH,CQCN,102,Kéo dài,,17,6,0,0,1,0,5
2015-2016,HK01,9,08102CLC,DHCQCN2008,DH,CQCN,102,Kéo dài,,1,1,0,0,0,0,1
2015-2016,HK01,9,08102CTU,DHCQCN2008,DH,CQCN,102,Kéo dài,,2,1,0,0,0,0,1
2015-2016,HK01,9,8103,DHCQCN2008,DH,CQCN,103,Kéo dài,,10,2,0,0,0,0,2
2015-2016,HK01,9,8104,DHCQCN2008,DH,CQCN,104,Kéo dài,,8,3,0,0,1,0,2
