STT,YearStudy,TermID,DepartmentID,CurriculumID,ProfessorID,SLSV_lechden3ruoi,SLSV_lechtren3ruoiden5,SLSV_lechtren5,SLSV,phtram_lechden3ruoi,phtram_lechtren3ruoiden5,phtram_lechtren5,CanhBao
1021,2015-2016,HK01,2207,FIMA430807,4600C,31,53,11,95,32.6,55.8,11.6,Cảnh báo điểm QT cao nhiều so với điểm thi
1022,2015-2016,HK01,2207,FIMA430807,4083,26,0,1,27,96.3,0.0,3.7,
1023,2015-2016,HK01,2207,FIMA431907,4600C,16,0,0,16,100.0,0.0,0.0,
1024,2015-2016,HK01,2207,INBU220207,3891,53,2,0,55,96.4,3.6,0.0,
1025,2015-2016,HK01,2207,MAAC430507,415,127,41,15,183,69.4,22.4,8.2,
1026,2015-2016,HK01,2207,MAAC430507,4806,31,3,0,34,91.2,8.8,0.0,
1027,2015-2016,HK01,2207,PRAC240407,714,49,3,0,52,94.2,5.8,0.0,
1028,2015-2016,HK01,2207,PRAC240407,2088,18,0,1,19,94.7,0.0,5.3,
1029,2015-2016,HK01,2207,PRSK320705,415,99,0,0,99,100.0,0.0,0.0,
1030,2015-2016,HK01,2207,PRSK320705,2141,47,0,0,47,100.0,0.0,0.0,
1031,2015-2016,HK01,2207,PRSK320705,1070,59,0,0,59,100.0,0.0,0.0,
1032,2015-2016,HK01,2207,PRSK320705,9317,27,0,0,27,100.0,0.0,0.0,
1033,2015-2016,HK01,2207,SEMA430807,3891,97,1,0,98,99.0,1.0,0.0,
1034,2015-2016,HK01,2207,SEMA430807,4580,16,0,0,16,100.0,0.0,0.0,
1035,2015-2016,HK01,2207,TAPO330407,501,108,0,0,108,100.0,0.0,0.0,
84,2014-2015,HK01,146,1246080,1188,56,1,0,57,98.2,1.8,0.0,
85,2014-2015,HK01,146,1246080,7041,70,0,0,70,100.0,0.0,0.0,
86,2014-2015,HK01,146,1246120,7041,86,0,0,86,100.0,0.0,0.0,
87,2014-2015,HK01,146,1246130,9290,49,1,0,50,98.0,2.0,0.0,
88,2014-2015,HK01,146,1246190,9988,120,0,0,120,100.0,0.0,0.0,
89,2014-2015,HK01,146,1246200,2922,11,0,0,11,100.0,0.0,0.0,
90,2014-2015,HK01,146,1246220,9290,46,0,0,46,100.0,0.0,0.0,
91,2014-2015,HK01,146,1246240,1177,38,5,3,46,82.6,10.9,6.5,
92,2014-2015,HK01,146,1263060,9202,58,2,3,63,92.1,3.2,4.8,
93,2014-2015,HK01,146,1263143,9290,33,1,0,34,97.1,2.9,0.0,
94,2014-2015,HK01,146,1263143,9986,57,0,0,57,100.0,0.0,0.0,
95,2014-2015,HK01,146,ACSY330346,9202,61,13,4,78,78.2,16.7,5.1,
96,2014-2015,HK01,146,ACSY330346,1204,74,10,2,86,86.0,11.6,2.3,
97,2014-2015,HK01,146,ACSY330346,181,88,4,0,92,95.7,4.3,0.0,
98,2014-2015,HK01,146,ACSY330346,1006,30,0,0,30,100.0,0.0,0.0,
99,2014-2015,HK01,146,PLCS330846,6002,83,14,1,98,84.7,14.3,1.0,
100,2014-2015,HK01,146,ROBO320246,609,59,2,0,61,96.7,3.3,0.0,
101,2014-2015,HK01,146,ROBO320246,46,30,0,0,30,100.0,0.0,0.0,
102,2014-2015,HK01,162,1162010,2203,57,13,10,80,71.3,16.3,12.5,
103,2014-2015,HK01,162,1162011,2203,57,3,0,60,95.0,5.0,0.0,
104,2014-2015,HK01,162,1162090,2009,20,0,0,20,100.0,0.0,0.0,
105,2014-2015,HK01,162,1162112,9401,71,3,0,74,95.9,4.1,0.0,
106,2014-2015,HK01,162,1262020,2202,95,0,0,95,100.0,0.0,0.0,
107,2014-2015,HK01,162,1263340,1045,140,2,0,142,98.6,1.4,0.0,
108,2014-2015,HK01,162,BAEL340662,2203,12,7,0,19,63.2,36.8,0.0,
109,2014-2015,HK01,162,BAEL340662,9401,49,15,2,66,74.2,22.7,3.0,
110,2014-2015,HK01,162,BAEL340662,9909,76,15,0,91,83.5,16.5,0.0,
111,2014-2015,HK01,162,BAEL340662,1180,91,15,2,108,84.3,13.9,1.9,
112,2014-2015,HK01,162,BAEL340662,9260,172,16,0,188,91.5,8.5,0.0,
113,2014-2015,HK01,162,BAEL340662,1045,93,8,2,103,90.3,7.8,1.9,
